City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
239,Ostrovnoy,RU,68.0531,39.5131,38.88,75,20,9.06,few clouds
240,Bac Lieu,VN,9.285,105.7244,85.87,73,55,11.05,broken clouds
241,Severo-Kurilsk,RU,50.6789,156.125,36.73,98,100,16.91,moderate rain
242,Nioro,GM,13.35,-15.75,108.75,11,0,9.82,clear sky
243,Clyde River,CA,70.4692,-68.5914,19.63,86,40,5.75,scattered clouds
244,Benicarlo,ES,40.4165,0.4271,82.9,59,7,9.22,clear sky
245,Fairbanks,US,64.8378,-147.7164,37.81,71,40,6.91,scattered clouds
246,Hirado,JP,33.3597,129.5531,57.38,67,100,9.35,overcast clouds
247,Palmer,US,42.1584,-72.3287,71.19,80,75,5.75,mist
248,Lakewood,US,39.7047,-105.0814,67.62,34,78,5.99,broken clouds
249,Rawson,AR,-43.3002,-65.1023,51.4,71,10,20.76,clear sky
250,Camana,PE,-16.6228,-72.7111,68.07,70,50,6.64,scattered clouds
251,Tucumcari,US,35.1717,-103.725,75.04,9,0,10.36,clear sky
252,Iquique,CL,-20.2208,-70.1431,62.64,63,5,4.56,clear sky
253,Port Hawkesbury,CA,45.6169,-61.3485,57.81,77,0,8.05,clear sky
254,Abu Dhabi,AE,24.4667,54.3667,86.11,65,0,12.66,clear sky
255,Najran,SA,17.4924,44.1277,90.25,6,9,16.24,clear sky
256,Kodinar,IN,20.7903,70.7031,84.92,75,0,15.21,clear sky
257,Port Elizabeth,ZA,-33.918,25.5701,75.09,78,0,10.36,clear sky
258,Tabuk,PH,17.4189,121.4443,77.85,88,100,3.42,moderate rain
259,Chimbote,PE,-9.0853,-78.5783,64.09,84,42,6.29,scattered clouds
260,Jhang,PK,33.6748,72.6963,98.62,7,2,2.44,clear sky
261,Ust-Ilimsk,RU,58.0006,102.6619,61.7,37,100,3.71,overcast clouds
262,Hovd,MN,48.0056,91.6419,62.94,16,10,0.85,clear sky
263,Recco,IT,44.3623,9.1435,74.71,75,20,3.87,few clouds
264,Jackson,US,42.4165,-122.8345,51.8,92,0,3.44,clear sky
265,Tiznit,MA,29.5833,-9.5,80.13,30,0,10.36,clear sky
266,Igarka,RU,67.4667,86.5833,37.54,100,99,11.18,overcast clouds
267,Pudozh,RU,61.8099,36.5345,47.34,84,100,4.52,overcast clouds
268,Yertsevo,RU,60.7966,40.086,47.17,95,100,6.33,overcast clouds
269,Korla,CN,41.7597,86.1469,78.44,17,99,6.31,overcast clouds
270,Lorengau,PG,-2.0226,147.2712,80.73,69,100,1.77,overcast clouds
271,Queanbeyan,AU,-35.35,149.2333,54.48,95,100,12.66,overcast clouds
272,Impfondo,CG,1.6381,18.0667,93.07,42,83,0.63,broken clouds
273,Tupik,RU,54.4253,119.9327,37.63,63,29,2.68,scattered clouds
274,Namatanai,PG,-3.6667,152.4333,79.74,77,99,3.18,overcast clouds
275,Poum,NC,-20.2333,164.0167,76.82,74,10,21.21,clear sky
276,Ahipara,NZ,-35.1667,173.1667,64.33,87,96,12.3,overcast clouds
277,Luderitz,NA,-26.6481,15.1594,74.66,37,21,5.95,few clouds
278,Zapolyarnyy,RU,69.4154,30.8136,47.48,79,57,3.83,broken clouds
279,Ribeira Grande,PT,38.5167,-28.7,59.4,77,75,24.16,shower rain
280,Gat,IL,31.61,34.7642,77.4,40,0,14.9,clear sky
281,Jingdezhen,CN,29.2947,117.2079,57.94,85,100,3.42,overcast clouds
282,Ilulissat,GL,69.2167,-51.1,24.82,39,7,3.44,clear sky
283,La Ronge,CA,55.1001,-105.2842,37.65,87,100,8.05,light intensity drizzle
284,Esil,KZ,51.9556,66.4042,63.77,64,100,16.98,overcast clouds
285,Hithadhoo,MV,-0.6,73.0833,83.5,70,91,10.4,overcast clouds
286,Harrison,US,30.4091,-89.0436,80.76,74,0,5.75,clear sky
287,Fortuna,US,40.5982,-124.1573,55.92,96,100,0.0,overcast clouds
288,Mnogovershinnyy,RU,53.9353,139.9242,28.38,95,100,9.64,overcast clouds
289,Khatanga,RU,71.9667,102.5,32.86,99,100,6.78,overcast clouds
290,Ilheus,BR,-14.7889,-39.0494,73.22,92,100,5.08,overcast clouds
291,Evensk,RU,61.95,159.2333,39.07,88,99,16.75,overcast clouds
292,Kruisfontein,ZA,-34.0033,24.7314,72.88,53,2,10.16,clear sky
293,Bonavista,CA,48.6499,-53.1147,34.48,83,95,14.58,overcast clouds
294,Port Lincoln,AU,-34.7333,135.8667,59.7,67,54,14.9,broken clouds
295,Lufilufi,WS,-13.8745,-171.5986,74.98,71,100,16.35,overcast clouds
296,Novopavlovsk,RU,43.9622,43.6342,74.61,59,73,7.81,broken clouds
297,San Jose,US,37.3394,-121.895,59.58,83,20,6.91,few clouds
298,Yar-Sale,RU,66.8333,70.8333,37.49,100,100,10.07,overcast clouds
299,Siguiri,GN,11.6667,-9.5,107.56,5,27,6.08,scattered clouds
300,San Vicente,AR,-26.6167,-54.1333,58.17,100,100,2.19,overcast clouds
301,Sturgis,US,41.7992,-85.4192,75.0,62,0,3.44,clear sky
302,Gravdal,NO,68.1214,13.5031,40.89,93,75,23.02,broken clouds
303,Katsuura,JP,35.1333,140.3,63.77,83,100,5.7,light rain
304,Kargasok,RU,59.0556,80.8572,58.73,83,100,3.71,moderate rain
305,Arlit,NE,18.7369,7.3853,103.23,8,5,3.44,clear sky
306,Khani,GE,41.9563,42.9566,63.97,54,68,5.28,broken clouds
307,Auki,SB,-8.7676,160.7034,76.93,86,32,0.4,scattered clouds
308,Namibe,AO,-15.1961,12.1522,79.23,54,1,11.59,clear sky
